Genre Name,Count,Link
fiction,18521244,https://www.goodreads.com/genres/fiction
field-guides,8004,https://www.goodreads.com/genres/field-guides
fighters,42031,https://www.goodreads.com/genres/fighters
figure-skating,2110,https://www.goodreads.com/genres/figure-skating
film,314910,https://www.goodreads.com/genres/film
finance,226142,https://www.goodreads.com/genres/finance
financial-management,2201,https://www.goodreads.com/genres/financial-management
finnish-literature,23642,https://www.goodreads.com/genres/finnish-literature
fire-engines,492,https://www.goodreads.com/genres/fire-engines
firefighters,12456,https://www.goodreads.com/genres/firefighters
fire-services,461,https://www.goodreads.com/genres/fire-services
fitness,60004,https://www.goodreads.com/genres/fitness
flash-fiction,3929,https://www.goodreads.com/genres/flash-fiction
f-m-f,1264,https://www.goodreads.com/genres/f-m-f
folklore,202988,https://www.goodreads.com/genres/folklore
folk-tales,39963,https://www.goodreads.com/genres/folk-tales
food,454413,https://www.goodreads.com/genres/food
food-and-drink,72391,https://www.goodreads.com/genres/food-and-drink
food-and-wine,10052,https://www.goodreads.com/genres/food-and-wine
food-history,10557,https://www.goodreads.com/genres/food-history
foodie,46786,https://www.goodreads.com/genres/foodie
food-preservation,1057,https://www.goodreads.com/genres/food-preservation
food-writing,21267,https://www.goodreads.com/genres/food-writing
football,58952,https://www.goodreads.com/genres/football
forgotten-realms,55946,https://www.goodreads.com/genres/forgotten-realms
foster-children,3139,https://www.goodreads.com/genres/foster-children
fostering,2634,https://www.goodreads.com/genres/fostering
foster-parents,2026,https://www.goodreads.com/genres/foster-parents
foursome,1016,https://www.goodreads.com/genres/foursome
fractured-fairy-tales,15154,https://www.goodreads.com/genres/fractured-fairy-tales
france,421881,https://www.goodreads.com/genres/france
frankensteins-monster,599,https://www.goodreads.com/genres/frankensteins-monster
freetown,21,https://www.goodreads.com/genres/freetown
freight,468,https://www.goodreads.com/genres/freight
french-literature,193894,https://www.goodreads.com/genres/french-literature
french-revolution,22570,https://www.goodreads.com/genres/french-revolution
fringe-science,1451,https://www.goodreads.com/genres/fringe-science
frugal,1301,https://www.goodreads.com/genres/frugal
functional-analysis,731,https://www.goodreads.com/genres/functional-analysis
fundamentalism,5339,https://www.goodreads.com/genres/fundamentalism
futurism,26335,https://www.goodreads.com/genres/futurism
futuristic,165688,https://www.goodreads.com/genres/futuristic
futuristic-romance,11886,https://www.goodreads.com/genres/futuristic-romance
gabon,776,https://www.goodreads.com/genres/gabon
gaborone,22,https://www.goodreads.com/genres/gaborone
gamebooks,9147,https://www.goodreads.com/genres/gamebooks
game-design,10021,https://www.goodreads.com/genres/game-design
